"title","age","genres","imdb","rotten_tomatoes","keywords","year","netflix","hulu","prime","disney"
"Person of Interest","TV-14","Action & Adventure, Drama, Mystery, Thriller, Crime, Science-Fiction, Fantasy",8.4,NA,"Dystopia, Police, War, Technology, Spy, Political",2011,1,0,0,0
"Monty Python's Flying Circus","TV-14","",8.8,100,"",1969,1,0,0,0
"Unbreakable Kimmy Schmidt","TV-14","",7.6,96,"",2015,1,0,0,0
"Jane the Virgin","TV-PG","Drama, Family, Romance, Comedy",7.8,100,"",2014,1,0,0,0
"Hunter x Hunter","TV-14","Action & Adventure, Anime, Animation, Comedy, Fantasy, Drama",8.9,NA,"Free Services, Netflix, Hulu, Adult Swim, Coming of Age, Friendship, Revenge, Martial Arts, Technology, Supernatural, Fighting, Adaptation",2011,1,1,0,0
"Godless","TV-14","Drama, Documentary, Crime",8.3,85,"",2017,1,0,0,0
"Mushi-Shi","TV-14","Animation, Anime, Drama, Fantasy, Horror, Mystery, Thriller, Action & Adventure, History",8.5,100,"Free Services, Netflix, Prime Video, Hulu, Funimation, Supernatural, Ghost, Psychology, Religion, Adaptation",2005,1,1,1,0
"GLOW","TV-MA","Comedy, Drama, Sport",8,92,"Wrestling, Sports, Feel-good, Based On True Story",2017,1,0,0,0
"Alias Grace","TV-MA","Biography, Crime, Drama",7.8,99,"Based on Books, Suspense, Adaptation, Based On True Story",2017,1,0,0,0
"13 Reasons Why","TV-MA","Drama, Mystery, Thriller",7.7,39,"High School, Based on Books, Music, Adaptation, Teen",2017,1,0,0,0
"Manhunt","TV-14","Crime, Drama, Mystery, Thriller",8.1,93,"",2017,1,0,0,0
"Gossip Girl","TV-14","Drama, Romance, Comedy",7.4,84,"Based on Books, New York, Dating, Adaptation, Teen",2008,1,0,0,0
"Star Trek: Deep Space Nine","TV-PG","Action & Adventure, Drama, Science-Fiction, Fantasy",7.9,90,"Netflix, Prime Video, Hulu, CBS All Access, BBC America, fuboTV, Alien, Space, Time Travel, Science, Political",1993,1,1,1,0
"The Dragon Prince","TV-PG","Action & Adventure, Animation, Fantasy, Family, Science-Fiction",8.4,100,"Magic, Supernatural, Animal, Royalty",2018,1,0,0,0
"Dirty Money","TV-14","",8.1,100,"",2018,1,0,0,0
"Locke & Key","TV-14","Drama, Fantasy, Horror, Thriller, Mystery, Science-Fiction",7.4,66,"",2020,1,0,0,0
"Maniac","TV-14","Comedy, Drama, Science-Fiction, Fantasy",7.8,85,"",2018,1,0,0,0
"Locked Up","TV-14","Drama, Thriller, Mystery, Comedy, Crime",8.3,100,"",2015,1,0,0,0
"Colony","TV-14","Drama, Action & Adventure, Fantasy, Science-Fiction, Thriller",7.4,92,"Dystopia, War, Apocalypse, Space, Political",2016,1,0,0,0
"Rectify","TV-14","",8.3,95,"",2013,1,0,0,0
"Charmed","TV-14","Drama, Science-Fiction, Fantasy, Mystery, Thriller, Comedy",7.1,75,"War, Time Travel, Vampire, Magic, Supernatural",1998,1,0,0,0
"American Vandal","TV-14","Comedy, Mystery, Crime, Drama",8.2,97,"",2017,1,0,0,0
"Marvel's Luke Cage","TV-MA","Drama, Action & Adventure, Crime, Science-Fiction, Thriller, Mystery, Fantasy",7.3,87,"Supernatural, Superhero, Comic Book, Disney, Adaptation",2016,1,0,0,0
"Santa Clarita Diet","TV-MA","",7.8,89,"",2017,1,0,0,0
"The Dark Crystal: Age of Resistance","TV-PG","Drama, Action & Adventure, Family, Fantasy, Horror, Mystery, Science-Fiction",8.5,87,"America, United Kingdom",2019,1,0,0,0
"Wild Wild Country","TV-14","Documentary, Cult, Crime",8.2,98,"",2018,1,0,0,0
"Derry Girls","TV-14","",8.4,97,"",2018,1,0,0,0
"Pose","TV-14","",8.6,96,"",2018,1,0,0,0
"One Day at a Time","TV-PG","",8.2,99,"",2017,1,0,0,0
"Dark Matter","TV-MA","Drama, Science-Fiction, Thriller, Action & Adventure, Mystery",7.5,89,"Robot, Space, Time Travel, Technology, Comic Book, Adaptation",2015,1,0,0,0
"Law & Order: Special Victims Unit","TV-14","Drama, Action & Adventure, Thriller, Crime, Mystery",8,NA,"Free Services, Netflix, Prime Video, Hulu, NBC, USA, fuboTV",1999,1,1,1,0
"Reign","TV-14","Drama, Fantasy, History",7.5,86,"Medieval, Royalty, Adaptation, Teen, Based On True Story, Political",2013,1,0,0,0
"The Tudors","TV-MA","Action & Adventure, Drama, Romance, History",8.1,69,"Princess, Medieval, Religion, Royalty, Political",2007,1,0,0,0
"The Stranger","TV-14","Crime, Drama, Mystery, Thriller",7.3,89,"",2020,1,0,0,0
"Supergirl","TV-PG","Drama, Fantasy, Action & Adventure, Science-Fiction",6.3,88,"Supernatural, Superhero, Comic Book, Adaptation",2015,1,0,0,0
"Call the Midwife","TV-PG","Drama, History, Family",8.4,89,"",2012,1,0,0,0
"On My Block","TV-14","",8.1,97,"",2018,1,0,0,0
"Longmire","TV-14","Drama, Action & Adventure, Crime",8.3,88,"",2012,1,0,0,0
"Extras","TV-14","",8.3,89,"",2005,1,0,1,0
"The 4400","TV-PG","Drama, Science-Fiction, Mystery, Thriller, Fantasy",7.3,95,"Dystopia, Space, Time Travel, Supernatural",2004,1,0,0,0
"HAPPY!","TV-MA","Fantasy, Action & Adventure, Comedy, Crime, Mystery, Thriller, Science-Fiction, Drama",8.2,84,"Friendship, Comic Book, Imagination, Adaptation",2017,1,0,0,0
"Doctor Foster","TV-14","",7.7,85,"",2015,1,0,0,0
"Designated Survivor","TV-PG","Drama, Action & Adventure, Mystery",7.5,71,"Dystopia, Apocalypse, Spy, Disney, Political",2016,1,0,0,0
"The Inbetweeners","TV-MA","",8.4,54,"High School, Friendship, Mature, Teen",2008,1,0,0,0
"Love","TV-MA","Comedy, Romance, Drama",7.7,94,"",2016,1,0,0,0
"The Spy","TV-MA","Drama, Thriller, History",7.9,86,"Based on Books, Spy, Adaptation, Political",2019,1,0,0,0
"The Kominsky Method","TV-MA","",8.2,90,"",2018,1,0,0,0
"Mystery Science Theater 3000","TV-PG","Comedy, Science-Fiction, Fantasy",8.5,80,"Free Services, Netflix, Hulu, IFC, fuboTV",1988,1,1,0,0
"Marco Polo","TV-MA","Action & Adventure, Drama, History, Thriller",8,67,"",2014,1,0,0,0
"Marvel's The Defenders","TV-MA","Action & Adventure, Crime, Fantasy, Science-Fiction",7.3,78,"Supernatural, Superhero, Comic Book, Disney, Adaptation",2017,1,0,0,0
"Ripper Street","TV-MA","Drama, Crime, Mystery, Thriller",8.1,100,"",2012,1,0,0,0
"The Fosters","TV-14","Drama, Family, Romance",7.9,97,"",2013,1,0,0,0
"Queer Eye","TV-14","Comedy, LGBTQ, Reality",8.5,91,"",2018,1,0,0,0
"Bleach","TV-MA","Action & Adventure, Anime, Animation, Fantasy, Comedy, Drama, Horror, Science-Fiction, Thriller",8.1,NA,"",2004,1,1,0,0
"The Borgias","TV-MA","Crime, Drama, History, Action & Adventure",7.9,85,"Hungary, Canada, America",2011,1,0,0,0
"Hawaii Five-0","TV-14","Action & Adventure, Crime, Drama",7.3,82,"",2010,1,0,0,0
"The Shannara Chronicles","TV-14","Action & Adventure, Fantasy, Science-Fiction, Drama",7.2,77,"Based on Books, Time Travel, Magic, Supernatural, Futuristic, Adaptation, Teen",2016,1,0,0,0
"Middleditch & Schwartz","TV-MA","",8.7,100,"",2020,1,0,0,0
"Star Trek: Voyager","TV-PG","Action & Adventure, Drama, Science-Fiction, Fantasy",7.8,77,"Netflix, Prime Video, Hulu, CBS All Access",1995,1,1,1,0
"Hell on Wheels","TV-14","",8.3,72,"",2011,1,0,0,0
"Limitless","TV-14","Drama, Science-Fiction, Thriller, Comedy, Crime, Action & Adventure",7.7,57,"",2015,1,0,0,0
"Jonathan Strange & Mr Norrell","TV-14","Drama, Fantasy, History, Science-Fiction",8.1,91,"",2015,1,0,0,0
"Top Boy","TV-MA","Drama, Crime, Thriller, Mystery",8.4,95,"",2011,1,0,0,0
"Queen of the South","TV-14","Drama, Action & Adventure, Crime",7.9,66,"",2016,1,0,0,0
"Delhi Crime",NA,"",8.5,91,"",2019,1,0,0,0
"Haven","TV-14","Crime, Drama, Fantasy, Science-Fiction, Horror, Mystery, Thriller",7.5,63,"Based on Books, Police, Time Travel, Supernatural, Ghost, Adaptation, Canada, America",2010,1,0,0,0
"Messiah","TV-MA","Drama, Thriller, Mystery",7.7,44,"",2020,1,0,0,0
"Feel Good",NA,"Comedy, LGBTQ, Drama, Romance",7.5,100,"",2020,1,0,0,0
"Haikyu!!","TV-14","Animation, Anime, Sport, Comedy, Drama",8.7,NA,"",2014,1,1,0,0
"Wynonna Earp","TV-14","Drama, LGBTQ, Action & Adventure, Crime, Fantasy, Science-Fiction",7.4,93,"America, Canada",2016,1,0,0,0
"Crash Landing on You","TV-14","Drama, Comedy, Romance, Action & Adventure",8.8,NA,"",2019,1,0,0,0
"Hart of Dixie","TV-PG","Comedy, Drama, Romance",7.7,81,"",2011,1,0,0,0
"Bloodline","TV-MA","Drama, Thriller, Crime",8,62,"",2015,1,0,0,0
"The Magicians","TV-14","Drama, Action & Adventure, Fantasy, Horror",7.6,NA,"Based on Books, New York, Time Travel, College, Magic, Supernatural, Adaptation",2015,1,0,0,0
"Don't F**k with Cats: Hunting an Internet Killer","TV-MA","Crime, Documentary, Mystery",8.1,67,"",2019,1,0,0,0
"Lost Girl","TV-14","Crime, Drama, Fantasy, Horror, Science-Fiction",7.7,65,"",2010,1,0,0,0
"That '70s Show","TV-14","Comedy, Romance, Family",8.1,NA,"Netflix, IFC, Comedy Central, fuboTV",1998,1,0,0,0
"Travelers","TV-14","Drama, Mystery, Science-Fiction, Thriller, Fantasy, Action & Adventure",8.1,NA,"",2016,1,0,0,0
"TURN: Washington's Spies","TV-14","Action & Adventure, Drama, History",8.1,81,"",2014,1,0,0,0
"Chef's Table","TV-G","",8.6,100,"",2015,1,0,0,0
"Soul Eater","TV-14","Action & Adventure, Anime, Animation, Comedy, Fantasy, Horror, Science-Fiction",7.8,100,"",2008,1,1,0,0
"Merlin","TV-PG","Action & Adventure, Fantasy, Drama, Science-Fiction, Animation, Family",7.9,NA,"Free Services, Netflix, Prime Video, Hulu, Magic, Supernatural, Medieval, Animal",2008,1,1,1,0
"Crazy Ex-Girlfriend","TV-14","",7.8,98,"",2015,1,0,0,0
"Living with Yourself","TV-MA","",7.2,84,"",2019,1,0,0,0
"Galavant","TV-PG","Comedy, Fantasy, Action & Adventure, Musical",8.1,89,"Music, Parody, Singing, Royalty, Disney",2015,1,0,0,0
"The Originals","TV-14","Drama, Fantasy, Science-Fiction, Mystery, Thriller, Horror",8.2,27,"",2013,1,0,0,0
"Ezel","TV-G","Crime, Drama, Thriller, Action & Adventure",8.6,NA,"",2009,1,0,0,0
"The Keepers","TV-14","Documentary, Crime, Drama, Mystery, Thriller",8.1,96,"",2017,1,0,0,0
"Malcolm in the Middle","TV-PG","",8,NA,"",2000,1,1,0,0
"Episodes","TV-MA","",7.8,80,"",2011,1,0,0,0
"Marvel's Iron Fist","TV-MA","Action & Adventure, Crime, Fantasy, Science-Fiction, Drama",6.5,37,"Martial Arts, Supernatural, Superhero, Comic Book, Disney, Adaptation",2017,1,0,0,0
"Case Closed","TV-14","Action & Adventure, Anime, Animation, Crime, Mystery, Comedy, Drama, Romance, Thriller",8.4,NA,"Free Services, Netflix, Hulu, Crunchyroll",1996,1,1,0,0
"Absolutely Fabulous","TV-14","",8.1,96,"",1992,1,1,0,0
