"title","age","genres","imdb","rotten_tomatoes","year","keywords"
"Into the Night"," 18 (TV-MA)","Drama, Science-Fiction, Thriller, Fantasy","7.1",83,"2020",""
"iZombie","14 (TV-14)","Drama, Science-Fiction, Action & Adventure, Crime, Horror, Comedy, Fantasy","7.9",91,"2015","Apocalypse, Doctor, Supernatural, Superhero, Comic Book, Zombie, Adaptation"
"Good Girls","14 (TV-14)","Drama, Comedy, Crime","7.9",87,"2017","Free Services, Netflix, Hulu, NBC, fuboTV"
"Neon Genesis Evangelion","14 (TV-14)","Action & Adventure, Anime, Drama, Science-Fiction, Animation, Thriller, Fantasy","8.5",100,"1995","Robot, Technology, Science, Psychology"
"Weeds","18 (TV-MA)","Comedy, Crime, Drama","7.9",70,"2005",""
"A Series of Unfortunate Events","7 (TV-PG)","Action & Adventure, Drama, Family, Mystery, Comedy","7.8",96,"2017",""
"Into the Badlands","14 (TV-14)","","8",83,"2015","Dystopia, Apocalypse, Martial Arts, Futuristic"
"Waco","18 (TV-MA)","Crime, Cult, Drama, Thriller, History","7.9",68,"2018",""
"NCIS"," 14 (TV-14)","Action & Adventure, Mystery, Crime, Drama, Comedy","7.8",40,"2003","Free Services, Netflix, CBS All Access, USA, fuboTV"
"Hollywood","18 (TV-MA)","","7.6",57,"2020",""
"Grace and Frankie","7 (TV-PG)","Comedy, LGBTQ, Drama","8.3",89,"2015",""
"Halt and Catch Fire","14 (TV-14)","","8.4",90,"2014",""
"Naruto"," 7 (TV-PG)","Action & Adventure, Anime, Animation, Comedy, Fantasy, Thriller, Drama, Mystery","8.3",NA,"2002","Friendship, Martial Arts, Supernatural, Fighting, Adaptation"
"Scandal","14 (TV-14)","Drama, Crime, Romance, Thriller","7.7",93,"2012",""
"The Midnight Gospel","18 (TV-MA)","Animation, Action & Adventure, Comedy, Fantasy, Science-Fiction","8.3",90,"2020","Space, Psychology, Genius, Mature"
